id;TICKET DE MEDICAMENTOS - GENERAL. FONASA;TICKET DE MEDICAMENTOS - GENERAL. NO FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). FONASA;TICKET DE MEDICAMENTOS topeados- ANTIHIPERTENSIVOS (Valsartán, Amlodipina, Hidroclorotiazida, Enalapril). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. FONASA;CONSULTA NO URGENTE CONSULTORIO: MEDICINA GENERAL. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: PEDIATRIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECO-OBSTETRICIA (CONTROL DE EMBARAZO). NO FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. FONASA;CONSULTA NO URGENTE CONSULTORIO: GINECOLOGIA. NO FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. FONASA;CONSULTA NO URGENTE CONSULTORIO: OTRAS ESPECIALIDADES. NO FONASA;CONSULTA URGENCIA CENTRALIZADA. FONASA;CONSULTA URGENCIA CENTRALIZADA. NO FONASA;CONSULTA NO URGENCIA DOMICILIO. FONASA;CONSULTA NO URGENCIA DOMICILIO. NO FONASA;CONSULTA URGENCIA DOMICILIO. FONASA;CONSULTA URGENCIA DOMICILIO. NO FONASA;CONSULTA ODONTOLOGICA. FONASA;CONSULTA ODONTOLOGICA. NO FONASA;CONSULTA MEDICO DE REFERENCIA. FONASA;CONSULTA MEDICO DE REFERENCIA. NO FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. FONASA;ENDOSCOPÍA DIGESTIVA. ENDOSCOPIA ESOFAGOGASTRODUODENAL. NO FONASA;ECOGRAFÍA SIMPLE. FONASA;ECOGRAFÍA SIMPLE. NO FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. FONASA;ECODOPPLER MIEMBROS (inferiores / superiores) ARTERIAL / VENOSO. NO FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. FONASA;RX ABDOMEN / APARATO URINARIO SIMPLE. NO FONASA;RX TORAX. FONASA;RX TORAX. NO FONASA;RX COLORECTAL. FONASA;RX COLORECTAL. NO FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. FONASA;RESONANCIA NUCLEAR MAGNÉTICA, UNA REGIÓN. NO FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. FONASA;TOMOGRAFÍA AXIAL COMPUTARIZADA, UNA REGIÓN. NO FONASA;LABORATORIO, RUTINA BÁSICA. FONASA;LABORATORIO, RUTINA BÁSICA. NO FONASA
6618;119;119;64;64;72;72;20;20;77;77;77;77;132;132;158;158;216;216;321;321;147;147;72;72;334;334;167;167;209;209;129;129;129;129;129;129;800;800;445;445;492;492
6769;98;98;58;58;0;70;0;70;0;70;0;70;0;428;0;187;208;208;420;420;230;230;0;70;248;248;110;517;110;110;-673;-290;93;476;200;200;248;248;248;248;239;588
6860;110;110;64;65;74;74;20;20;33;33;77;77;130;130;213;213;257;257;361;361;329;329;29;29;233;279;116;116;298;297;123;123;124;124;124;124;791;788;356;354;503;503
6985;142;142;64;64;64;64;64;64;64;64;64;64;178;178;178;178;178;178;256;256;178;178;64;64;800;800;204;204;800;800;204;204;204;204;307;307;800;800;800;800;541;541
7062;105;105;53;53;73;73;73;73;73;73;73;73;138;138;196;196;259;259;442;442;272;272;73;73;163;163;163;163;163;163;39;39;39;39;163;163;244;244;244;244;498;498
7214;157;157;65;65;75;75;75;75;75;75;77;77;227;227;105;105;256;256;304;304;353;353;0;0;494;494;220;220;494;494;206;206;206;206;494;494;800;800;800;800;1.11;1.11
7264;104;104;55;55;76;76;76;76;76;76;76;76;155;155;235;235;235;235;317;317;333;333;0;0;800;800;184;184;350;350;184;184;184;184;350;350;800;800;483;483;923;923
7466;118;118;58;58;73;73;73;73;73;73;78;78;164;164;258;258;362;362;609;609;394;394;73;73;585;585;195;195;585;585;67;67;67;67;390;390;585;585;585;585;393;393
7553;58;110;0;56;0;66;0;0;0;66;0;66;0;132;0;132;0;192;0;260;0;158;66;66;319;319;201;201;125;125;104;104;104;104;125;125;800;800;577;577;339;339
7618;159;159;64;64;75;75;0;0;75;75;77;77;188;188;488;488;365;365;488;488;365;365;75;75;679;679;392;392;640;640;241;241;241;241;241;241;241;241;800;800;666;666
7719;135;135;64;64;75;75;75;75;75;75;77;77;169;169;219;219;308;308;361;361;219;219;75;75;338;338;328;328;601;601;219;219;219;219;219;219;800;800;601;601;519;519
7810;127;127;63;63;0;69;0;0;0;69;0;69;0;191;0;191;0;276;182;389;0;191;0;69;316;316;316;316;316;316;132;132;132;132;132;132;800;800;316;316;704;704
8012;121;121;64;57;71;71;71;71;74;74;75;75;89;89;162;162;236;236;468;468;220;220;74;74;210;210;75;75;75;75;75;75;75;75;94;94;484;484;267;267;281;281
8163;130;130;64;64;75;75;75;75;75;75;75;75;165;165;234;234;257;257;540;540;339;339;75;75;173;173;79;79;173;173;79;79;79;79;173;173;435;435;435;435;440;440
8220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9502;151;151;64;64;0;75;0;0;0;75;0;77;0;231;0;309;0;340;0;478;0;329;0;75;0;698;0;119;0;596;-477;-239;0;239;0;239;0;800;0;477;128;369
